Cause,Effect,Lag,SSR F-Test Statistic,SSR F-Test P-Value
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,6,1.215020602133138,0.303348040418875
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,7,1.0652438802737667,0.39033610181424294
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,8,0.9521267218817044,0.4771226502399739
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,9,0.8531340657006167,0.5692520572496387
Trade_Volume_Pct_Change_Index_Value,Federal_Rates_Monthly,10,0.9901414669678648,0.4566091194637879
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,1,0.665655329416615,0.4160183908358265
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,2,0.33202955844425047,0.718068121822232
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,3,0.2678390721194522,0.8484806519374499
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,4,0.45423898812179847,0.7691447636412707
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,5,0.370087741787148,0.8682919480594893
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,6,0.4819594138161454,0.820692300701224
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,7,0.43616308752162813,0.8776891720844162
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,8,0.5267377326565608,0.8342795847170972
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,9,0.5389948628448096,0.8432514937806344
Trade_Volume_Pct_Change_Index_Value,Nominal_Broad_US_Dollar_Index,10,0.5084276377376428,0.8809020119674953
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,1,0.13604831470848025,0.7128236932244418
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,2,0.15977710728476843,0.852499592472161
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,3,0.10177122081871,0.9588701315171483
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,4,0.5875171997824633,0.6722666976253344
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,5,0.6314720168465481,0.6760635879994248
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,6,2.0314482236167577,0.06666725932003363
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,7,2.002444988886181,0.06054291901482845
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,8,1.7672237548073617,0.09082597486827823
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,9,1.9784251141052411,0.04843796589039511
Trade_Volume_Pct_Change_Index_Value,Adjusted_Closing_Price,10,2.0134387839335632,0.038739689626042226
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,1,0.09850745843183559,0.7541162164431208
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,2,0.6165565516442635,0.5413589172769537
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,3,0.6955607555501345,0.5563957729583122
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,4,0.8343142088523444,0.5058216811348578
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,5,0.851412039138509,0.5160276061071472
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,6,0.7144093820319976,0.6386757108458179
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,7,1.2439372110270484,0.2846297799736737
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,8,1.4775295270111029,0.17314540679266804
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,9,1.4143999484171097,0.1905495527034916
Trade_Volume_Pct_Change_Index_Value,US_Export_to_Russia,10,1.2362175809861629,0.27657497930266656
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,1,0.27946861120809086,0.5979242346741607
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,2,1.9563987705893098,0.14547510505514577
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,3,1.839469726488301,0.14327244275083442
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,4,2.0781472463678154,0.08757295255014418
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,5,1.8207375257231064,0.11366434044447582
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,6,1.4131775164024059,0.21513069423269213
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,7,1.5451207045846818,0.1589614398306363
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,8,1.713855185818758,0.10261807492908655
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,9,1.6186290600183657,0.11854132729998786
Trade_Volume_Pct_Change_Index_Value,US_Unemployment_Rate,10,1.5116954841902261,0.1450325756560855
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,1,1.5236112923574394,0.21923412018472613
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,2,2.3338574542888626,0.10093887338940538
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,3,1.97388403720202,0.12116522811667882
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,4,1.5624167890277536,0.1884466128135743
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,5,1.2779213885595047,0.2777708991926729
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,6,1.2549086778311276,0.28355592690414855
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,7,1.505970565200026,0.1719660603677511
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,8,1.2851336102365818,0.2582564274782272
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,9,1.093870580877329,0.3732564558642076
Trade_Volume_Pct_Change_Index_Value,US_Consumer_Sentiment,10,1.4428755182889557,0.1715604320022094
Trade_Volume_Pct_Change_Index_Value,Price,1,0.3863601583697388,0.5352749333489948
Trade_Volume_Pct_Change_Index_Value,Price,2,2.5501151080405697,0.08194350705877503
Trade_Volume_Pct_Change_Index_Value,Price,3,1.9016025088257817,0.1326069913996072
Trade_Volume_Pct_Change_Index_Value,Price,4,1.887326407606108,0.11673955421589408
Trade_Volume_Pct_Change_Index_Value,Price,5,1.9460869482018512,0.09152962626864647
Trade_Volume_Pct_Change_Index_Value,Price,6,1.6172256115629344,0.1481857298213469
Trade_Volume_Pct_Change_Index_Value,Price,7,1.6666714292651548,0.12395508962833483
Trade_Volume_Pct_Change_Index_Value,Price,8,1.4331030860982017,0.19033682978571018
Trade_Volume_Pct_Change_Index_Value,Price,9,1.221807836695756,0.2890381578339978
Trade_Volume_Pct_Change_Index_Value,Price,10,1.1426274880778542,0.3379867125416186
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,1,2.27052037235007,0.13420947851131104
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,2,1.2787724277344499,0.281830440466976
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,3,1.3444922046763084,0.2629090220118922
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,4,1.8371645729200143,0.1258178385854281
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,5,1.3371606587603075,0.2531000924572017
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,6,1.503394047261584,0.18282103413126036
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,7,1.4202012362292258,0.20372342329640317
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,8,1.1822438264490172,0.31596697826680153
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,9,1.1233700422507045,0.3524839421492754
Trade_Volume_Pct_Change_Index_Value,US_Mean_Monthly_Market_Volatility,10,1.8676245656476205,0.05766540056683942
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,1,0.70188236272258,0.4036437301697867
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,2,0.9412872311396698,0.39274771698017896
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,3,0.674375952757701,0.5692762368092019
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,4,2.0678447573635084,0.08895122094452956
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,5,2.60329065140694,0.028340911097888926
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,6,2.2335063469847483,0.04450274327187379
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,7,2.3901425053406635,0.025483374732622795
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,8,2.5111791417465446,0.015014060689892932
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,9,1.9402045448216632,0.05341805795901253
Trade_Volume_Pct_Change_Index_Value,Average_Hourly_Earning,10,1.719548864293322,0.08544922016565756
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,1,0.0004211080341928,0.9836583511411152
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,2,0.6974185056633594,0.4997078094915107
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,3,1.18825860344651,0.31693076758035355
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,4,1.157171293278104,0.33303325807512535
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,5,2.8287345298908293,0.01877774253393185
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,6,1.4748635877801668,0.19254910988320917
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,7,1.2694569748729287,0.27152380653530567
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,8,1.559467189316532,0.14493438311292633
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,9,1.7154949062318756,0.09375725939622705
Trade_Volume_Pct_Change_Index_Value,CPI_Value_Inflation,10,1.3628473644604222,0.20746885863137113
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,1,0.2867789641174576,0.5931797615690726
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,2,0.18426015460301445,0.8319345845759775
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,3,0.18964595454920433,0.903290178075892
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,4,0.42973485865629696,0.7869330346451727
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,5,0.461975813763869,0.8038784354284749
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,6,0.67346900228503,0.6712693806825321
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,7,0.708966652325063,0.664448924741941
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,8,0.9735835218652329,0.4603403570853941
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,9,0.5485992775178603,0.8359036674738216
Trade_Volume_Pct_Change_Index_Value,producer_price_index_all_commodities,10,0.5965501633974677,0.8136461105484062
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,1,0.2833786821490731,0.5953767856921139
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,2,2.05553681533859,0.13213350840098828
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,3,2.26410995328373,0.08415690508355707
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,4,1.5191970931148941,0.20058737098525103
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,5,1.1932628904762264,0.3164695170385008
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,6,0.8167409464019197,0.5590050174078618
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,7,0.7873557785313935,0.5992531975977233
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,8,0.775264084965498,0.6252511899510151
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,9,0.8899944227307559,0.5367357057269624
US_Crude_Oil_Prices_Dollar_Per_Barrel,Trade_Volume_Pct_Change_Index_Value,10,0.9167343729386126,0.5208193412398225
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,1,0.2814249598986461,0.5966468165963059
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,2,0.10913781712600337,0.8966882776700184
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,3,0.6316664930634905,0.5958843722851692
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,4,0.46866036098039865,0.7586383260632276
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,5,1.1160242724961742,0.3554535108496059
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,6,0.9899455373714352,0.4353193590373483
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,7,1.160174729402732,0.331124247535528
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,8,1.0003869782975316,0.4398413930113562
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,9,1.1990374532139083,0.30290624363205393
US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,10,1.0332540672785548,0.4208780893880418
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,1,0.38976046523695856,0.5334868107217647
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,2,0.136563819759713,0.8724746730185858
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,3,0.13538702266021296,0.9387726484537638
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,4,3.3097923884716014,0.01293112885307025
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,5,3.454175630350181,0.005917061642191271
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,6,3.2781431569869204,0.005090314187405807
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,7,3.5056888285913597,0.0018996088537693143
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,8,3.0517066949430216,0.003805034735168669
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,9,2.4821621973424555,0.012785135969206933
US_Crude_Oil_Prices_Dollar_Per_Barrel,Nominal_Broad_US_Dollar_Index,10,2.213218023473632,0.022161960069920387
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,1,0.40381325661546225,0.5262101798848111
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,2,0.17473974489950814,0.8398709122798218
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,3,4.358053554879539,0.005861454010771395
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,4,3.7315839635901993,0.006649481709306239
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,5,3.2744960002978405,0.00825604752437204
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,6,2.726663907827262,0.016180204182736035
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,7,2.3967270262656397,0.02510520983897489
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,8,2.4045876244266715,0.01959245653135544
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,9,2.1155742793078636,0.033945758970974425
US_Crude_Oil_Prices_Dollar_Per_Barrel,Adjusted_Closing_Price,10,1.7811981980129123,0.07264954210981783
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,1,0.0037837236852176375,0.9510431261079986
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,2,0.27282846377255343,0.7616548125981055
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,3,0.31953759211466587,0.8112300609277635
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,4,0.11566947781374862,0.9767712471798972
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,5,0.14714508348357516,0.9805557529388047
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,6,0.13782178544546586,0.9910205779064959
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,7,0.14818167194282977,0.9938961635303081
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,8,0.5875001123460427,0.7864358008124794
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,9,0.5338369834442429,0.8471449993798323
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Export_to_Russia,10,0.4379154946063404,0.9247514295751322
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,1,11.876590991883866,0.000759632451262937
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,2,6.252684527699735,0.0025492125437324735
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,3,4.078654244079011,0.008363560307149237
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,4,2.8745012124489033,0.025608508604981425
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,5,2.2682741997324567,0.05184827207950317
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,6,2.065226803697104,0.06234568039639
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,7,1.7905954939522066,0.09558091577833117
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,8,1.663863666449523,0.11491012750009383
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,9,1.5236328713656022,0.14836748193601423
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Unemployment_Rate,10,1.5470900616429037,0.13282909636912382
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,1,0.7074944540019579,0.4017753370916005
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,2,0.5409941921634451,0.5834641549366202
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,3,0.9528599182503849,0.417263937265956
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,4,0.8564637835018085,0.492218334621905
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,5,0.8335489236182806,0.5282900756619433
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,6,0.628885915582938,0.7068707757784185
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,7,0.5660814453851695,0.7821241347293589
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,8,0.4821413973134686,0.8666942232730325
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,9,0.39507839718530513,0.9351816033761875
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Consumer_Sentiment,10,0.4488390610574651,0.9186202844980031
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,1,0.3877405422410728,0.5345477161963208
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,2,0.9422586089518424,0.39237179821078816
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,3,2.7898599510637063,0.043230130878089475
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,4,2.6278554777643848,0.037617657296576804
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,5,2.983881063863914,0.014120669813218639
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,6,2.817031287916784,0.013404905087529737
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,7,2.519924052819349,0.018955642599137568
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,8,2.2160185841008015,0.031205261345207024
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,9,2.0503777217119517,0.04022838866176172
US_Crude_Oil_Prices_Dollar_Per_Barrel,Price,10,1.8401768453463172,0.062080635405590404
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,1,0.009692488830393272,0.9217217430163803
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,2,0.5501941034447897,0.5781648910940166
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,3,2.322715339543771,0.07815856049160441
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,4,1.6313468401579152,0.1704697412370872
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,5,1.055492952430159,0.38851799461642916
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,6,0.9505711618752145,0.46189446640483345
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,7,0.9921193323289856,0.4405676279070202
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,8,0.8156702060654538,0.5902620369450895
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,9,0.9760317410895563,0.46387596768316
US_Crude_Oil_Prices_Dollar_Per_Barrel,US_Mean_Monthly_Market_Volatility,10,0.8203918626111443,0.6097341771466209
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,1,0.5862260657422016,0.4452287233021215
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,2,9.190024694912394,0.0001841215621629442
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,3,5.758628184744434,0.000999269655131373
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,4,5.6943691935486225,0.000304109879057386
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,5,4.220693678193253,0.001422665982597617
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,6,3.3360132339790423,0.004504749213197663
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,7,2.4092749667710294,0.02439954145326146
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,8,2.0119429354431433,0.05113668944139197
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,9,2.0048550913103975,0.04525372004299396
US_Crude_Oil_Prices_Dollar_Per_Barrel,Average_Hourly_Earning,10,1.909399661856087,0.05150438022388797
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,1,6.389043056289198,0.012644003113874527
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,2,4.434224879997481,0.013697001240583977
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,3,3.029404897833764,0.031867877593213675
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,4,3.0422307282786885,0.019691606664884558
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,5,2.83586190611868,0.01853398296439203
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,6,1.5265214264555367,0.17525422282139633
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,7,1.3291441478999606,0.24275130063849468
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,8,1.096467361708699,0.3709648684806561
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,9,0.9479014287205633,0.4871565025862592
US_Crude_Oil_Prices_Dollar_Per_Barrel,CPI_Value_Inflation,10,0.7201839712233408,0.7038915175591287
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,1,5.557957533636689,0.019843944679185665
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,2,7.264732191078107,0.0010185536021816897
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,3,4.547970974373663,0.004605013735150129
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,4,3.685450321231383,0.007151736718584835
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,5,4.360171931785026,0.0010976938611902203
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,6,2.0893830567296083,0.05941959348709747
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,7,1.8889136296648328,0.07746314128417975
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,8,1.7886763857894246,0.08644616006566605
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,9,1.2757506397981777,0.2581101906227928
US_Crude_Oil_Prices_Dollar_Per_Barrel,producer_price_index_all_commodities,10,1.2591085362275165,0.2629107014482335
Federal_Rates_Monthly,Trade_Volume_Pct_Change_Index_Value,1,0.9690452497099272,0.32669248978661347
Federal_Rates_Monthly,Trade_Volume_Pct_Change_Index_Value,2,0.08972332834693462,0.9142402084622462
